id,count
0,22.6
1,16.72
2,13.096
3,5.736
4,3.904
5,4.304
6,20.648
7,56.04
8,113.272
9,69.976
10,58.6
11,58.96
12,73.992
13,74.832
14,78.048
15,75.632
16,84.2
17,121.632
18,115.048
19,87.552
20,48.728
21,35.608
22,26.096
23,20.48
24,56.656
25,57.712
26,62.04
27,62.872
28,74.464
29,145.872
30,145.848
31,112.824
32,59.336
33,45.704
34,35.96
35,28.304
36,10.136
37,5.392
38,3.4
39,2.2
40,6.504
41,29.984
42,78.616
43,185.168
44,108.112
45,59.792
46,63.248
47,70.736
48,80.608
49,80.568
50,80.696
51,106.432
52,206.752
53,188.656
54,134.488
55,71.952
56,53.264
57,46.744
58,30.92
59,15.8
60,8.216
61,4.152
62,3.64
63,2.784
64,5.64
65,34.384
66,102.44
67,237.272
68,119.832
69,68.888
70,91.264
71,123.6
72,126.312
73,130.056
74,129.0
75,159.376
76,296.136
77,289.288
78,226.392
79,171.928
80,144.6
81,114.912
82,48.928
83,39.856
84,18.608
85,10.464
86,7.856
87,7.92
88,6.952
89,39.88
90,104.744
91,233.816
92,125.76
93,87.896
94,103.776
95,176.176
96,199.2
97,198.208
98,204.496
99,257.568
100,360.688
101,355.56
102,308.712
103,194.872
104,155.44
105,121.032
106,104.696
107,42.896
108,28.832
109,27.088
110,25.152
111,6.768
112,6.728
113,7.24
114,36.168
115,50.264
116,71.352
117,135.72
118,138.4
119,148.456
120,150.744
121,166.448
122,156.432
123,172.016
124,136.992
125,118.576
126,93.288
127,67.264
128,57.384
129,48.272
130,35.832
131,16.32
132,9.12
133,3.64
134,3.168
135,2.808
136,6.584
137,38.352
138,122.032
139,259.696
140,148.28
141,116.168
142,117.672
143,128.328
144,131.432
145,124.736
146,129.48
147,167.68
148,291.728
149,224.408
150,178.704
151,118.336
152,95.592
153,57.768
154,40.616
155,35.496
156,18.424
157,9.064
158,4.944
159,7.064
160,42.168
161,132.144
162,267.376
163,162.032
164,131.648
165,152.936
166,192.752
167,207.168
168,200.656
169,204.504
170,263.888
171,363.552
172,360.152
173,310.088
174,192.832
175,190.328
176,152.592
177,117.632
178,50.216
179,34.976
180,32.408
181,31.88
182,11.208
183,13.088
184,7.304
185,26.456
186,67.352
187,90.68
188,163.624
189,162.704
190,184.384
191,223.888
192,223.16
193,223.96
194,263.344
195,234.408
196,206.632
197,168.488
198,97.752
199,72.848
200,48.064
201,36.928
202,46.112
203,35.664
204,34.912
205,24.872
206,7.752
207,6.328
208,24.312
209,47.208
210,73.992
211,107.888
212,173.832
213,207.176
214,214.144
215,269.744
216,273.824
217,272.568
218,300.816
219,323.632
220,296.928
221,245.24
222,167.912
223,124.44
224,117.928
225,50.976
226,29.664
227,14.424
228,5.92
229,5.392
230,4.16
231,12.104
232,54.704
233,182.472
234,245.656
235,150.648
236,93.208
237,105.048
238,120.472
239,121.968
240,122.248
241,140.728
242,216.352
243,349.64
244,381.304
245,274.968
246,198.12
247,156.16
248,106.04
249,66.504
250,26.0
251,15.504
252,7.176
253,6.256
254,6.592
255,12.768
256,56.12
257,219.968
258,358.84
259,137.112
260,85.032
261,98.352
262,105.24
263,105.568
264,105.72
265,107.208
266,192.504
267,342.728
268,333.688
269,229.008
270,186.632
271,145.792
272,104.72
273,47.568
274,32.104
275,14.064
276,8.536
277,3.088
278,4.816
279,17.52
280,74.336
281,287.944
282,324.456
283,197.696
284,91.416
285,105.912
286,94.92
287,129.864
288,161.792
289,166.328
290,292.248
291,480.76
292,438.264
293,352.368
294,210.312
295,166.976
296,116.208
297,75.328
298,35.656
299,16.216
300,10.008
301,2.784
302,4.608
303,22.64
304,81.536
305,295.2
306,384.84
307,159.144
308,91.272
309,95.616
310,110.76
311,135.416
312,147.888
313,155.456
314,279.968
315,441.28
